,content
10,"i'm issues getting c sockets api work properly c++ z os. although including sys socket.h still get compile time errors telling af_inet defined. missing something obvious related fact z os makes problems much complicated update : upon investigation discovered #ifdef i'm hitting. apparently z os happy unless define ""type"" sockets i'm using with: #define _oe_sockets personally idea _oe_sockets actually z os sockets programmers 3 perhaps could give rundown works test app #include <sys socket.h> int main return af_inet compile link output: cxx -wc xplink -wl xplink -o inet_test inet.c "". inet.c"" line 5.16: ccn5274 name lookup ""af_inet"" find declaration. ccn0797 compilation failed file . inet.c. object file created. check sys sockets.h include definition need far tell blocked #ifdef statements. however noticed contains following: #ifdef __cplusplus extern ""c"" #endif encapsulates basically whole file sure matters. use c socket api c++ z os"
11,forcefully unload bytearray memory using actionscript 3 tried following: first non-working solution bytearray.length = 0 bytearray = new bytearray second non-working solution var i:int=0 < bytearray.length i++ bytearray = null unloading bytearray using actionscript 3
12,"monitor sql server database changes table without using triggers modifying structure database way preferred programming environment .net c#. i'd like able support sql server 2000 sp4 newer. application bolt-on data visualization another company's product. customer base thousands want put requirements modify third-party vendor's table every installation. ""changes table"" mean changes table data changes table structure. ultimately would like change trigger event application instead check changes interval. best course action given requirements triggers schema modification sql server 2000 2005 seems use binary_checksum function t-sql. way plan implement this: every x seconds run following query: select checksum_agg binary_checksum sample_table nolock compare stored value. value changed go table row row using query: select row_id binary_checksum sample_table nolock compare returned checksums stored values. check changes sql server table"
13,aware .net three timer types see comparing timer classes .net framework class library . chosen threaded timer types drift main thread busy need reliable. way timer works control timer put another thread always tick along work begin completed parent thread busy. issue timer console application timer ticking along another thread main thread anything application closes. tried adding true loop main thread busy timer go off. reliable timer console application
14,starting new web application php time around want create something people extend using plugin interface. one go writing 'hooks' code plugins attach specific events best way allow plugins php application
15,"let's say create wizard html form. one button goes back one goes forward. since back button appears first markup press enter use button submit form. example: <form> <!-- put cursor field press enter --> <input type=""text"" name=""field1"" > <!-- button submit --> <input type=""submit"" name=""prev"" value=""previous page"" > <!-- button want submit --> <input type=""submit"" name=""next"" value=""next page"" > < form> would like get decide button used submit form user presses enter. way press enter wizard move next page previous. use tabindex multiple submit buttons html form"
16,"datatable name column. want generate collection unique names ordered alphabetically. following query ignores order clause. var names = datarow dr datatable.rows orderby string dr ""name"" select string dr ""name"" .distinct orderby get enforced get distinct ordered list names datatable using linq"
17,find list mime types identifying characters microsoft office 2007 files upload form restricting uploads based extensions identifying characters cannot seem find office 2007 mime types. anyone help microsoft office 2007 file type mime types identifying characters
18,page collection linq given startindex count paging collection linq
19,want format existing comments 'rdoc comments' viewed using ri. recommended resources starting using rdoc add existing comments rdoc ruby
20,"version subclipse 1.2.4 currently available aptana's automatic plugins manager work newest version subversion. see subclipse website however 1.4.2 eclipse. added new remote update site update manager. tried install told needed mylyn 3.0.0. much searching found mylyn 3.0.0 added another new remote update site update manager. tried install told needed org.eclipse.ui 3.3.0 equivalent. looking configuration details aptana looks like built eclipse 3.2.2. anyone know way upgrade version eclipse aptana built 3.3.0 way get subclipse work newest version subversion know necessarily ""programming"" question hope ok since highly relevant programming experience. getting subclipse aptana work newest release subversion"
21,i've written database generation script sql want execute adobe air application: create table trole roleid integer primary key rolename varchar 40 create table tfile fileid integer primary key filename varchar 50 filedescription varchar 500 thumbnailid integer fileformatid integer categoryid integer isfavorite boolean dateadded date globalaccesscount integer lastaccesstime date downloadcomplete boolean isnew boolean isspotlight boolean duration varchar 30 create table tcategory categoryid integer primary key categoryname varchar 50 parent_categoryid integer ... execute adobe air using following methods: public static function runsqlfromfile filename:string :void var file:file = file.applicationdirectory.resolvepath filename var stream:filestream = new filestream stream.open file filemode.read var strsql:string = stream.readutfbytes stream.bytesavailable nonquery strsql public static function nonquery strsql:string :void var sqlconnection:sqlconnection = new sqlconnection sqlconnection.open file.applicationstoragedirectory.resolvepath dbpath var sqlstatement:sqlstatement = new sqlstatement sqlstatement.text = strsql sqlstatement.sqlconnection = sqlconnection try sqlstatement.execute catch error:sqlerror alert.show error.tostring errors generated however trole exists. seems looks first query semicolon- remove query fails . way call multiple queries one statement sqlstatement.execute - multiple queries one statement
22,best practices around creating flat file database structures php lot matured php flat file frameworks attempt implement sql-like query syntax top purposes cases. would use database point . elegant tricks get good performance features small code overhead flat file databases
23,porting game originally written win32 api linux well porting os x port win32 port linux . implemented queryperformancecounter giving useconds since process start up: bool queryperformancecounter large_integer performancecount gettimeofday &currenttimeval null performancecount->quadpart = currenttimeval.tv_sec - starttimeval.tv_sec performancecount->quadpart = 1000 1000 performancecount->quadpart += currenttimeval.tv_usec - starttimeval.tv_usec return true coupled queryperformancefrequency giving constant 1000000 frequency works well machine giving 64-bit variable contains useconds since program's start-up. portable want discover works differently kernel compiled certain way anything like that. fine non-portable something linux however. gettimeofday guaranteed microsecond resolution
24,branch merge apache subversion using tortoisesvn client branch merge tortoisesvn
25,".net perspective: memory leak determine whether application leaks effects prevent memory leak application memory leak go away process exits killed memory leaks application affect processes system even process completion unmanaged code accessed via com interop p invoke anatomy ""memory leak"""
26,"i've using tortoisesvn windows environment quite time. seems feature-complete nicely integrated windows shell importantly fairly painless teach colleagues little experience source control. however since moved windows vista 64bit tortoise buggy seemed cause lots explorer.exe abnormalities crashes. happened older versions software latest version 1.5.1 build 13563 . curious anyone suggestions subversion clients run windows specifically vista 64bit . developers use variety text editors using visual studio dreamweaver svn ideal. heard great things cornerstone would love something similar windows exists. i'm correlating vista explorer problems tortoise normally occur i'm using functionality tortoise. sometimes bringing ""merge"" screen cause gui start acting strange eventually hang crash. see 1.5.2 -- i'm installing maybe fix issues. best subversion clients windows vista 64bit"
27,"recently site deluged resurgence asprox botnet sql injection attack. without going details attack attempts execute sql code encoding t-sql commands ascii encoded binary string. looks something like this: declare%20 s%20nvarchar 4000 set%20 s=cast 0x44004500...06f007200%20as%20nvarchar 4000 exec -- able decode sql little wary since know exactly happening time. tried write simple decode tool could decode type text without even touching sql server. main part need decoded is: cast 0x44004500...06f007200 nvarchar 4000 i've tried following commands luck: txtdecodedtext.text = system.web.httputility.urldecode txturltext.text txtdecodedtext.text = encoding.ascii.getstring encoding.ascii.getbytes txturltext.text txtdecodedtext.text = encoding.unicode.getstring encoding.unicode.getbytes txturltext.text txtdecodedtext.text = encoding.ascii.getstring encoding.unicode.getbytes txturltext.text txtdecodedtext.text = encoding.unicode.getstring convert.frombase64string txturltext.text proper way translate encoding without using sql server possible i'll take vb.net code since i'm familiar too. okay i'm sure i'm missing something here's i'm at. since input basic string started snippet encoded portion - 4445434c41 translates decla - first attempt this... txtdecodedtext.text = encoding.utf8.getstring encoding.utf8.getbytes txturl.text ...and return exact thing put since converted character byte. realized need parse every two characters byte manually since know methods yet little decoder looks something like this: !boolisdone byturlchar = byte.parse txturltext.text.substring intparseindex 2 byturl inturlindex = byturlchar intparseindex += 2 inturlindex++ txturltext.text.length - intparseindex < 2 boolisdone = true txtdecodedtext.text = encoding.utf8.getstring byturl things look good first couple pairs loop balks gets ""4c"" pair says string incorrect format. interestingly enough step debugger getstring method byte array able parse point get "" -+"" result. figure i'm missing - need ""direct cast"" byte instead attempting parse decoding t-sql cast c# vb.net"
28,anyone experience creating sql-based asp.net site-map providers default xml file web.sitemap working properly menu sitemappath controls i'll need way users site create modify pages dynamically. need tie page viewing permissions standard asp.net membership system well. asp.net site maps
29,existing application library java allow convert csv data file xml file xml tags would provided possibly first row containing column headings. java lib app convert csv xml file
30,"""purist"" ""correct"" way access object's properties within object method getter setter method know outside object use getter setter within would do: java: string property = this.property php: $property = $this->property would do: java: string property = this.getproperty php: $property = $this->getproperty forgive java little year since programmed java... edit: seems people assuming talking private protected variables properties only. learned oo taught use getters setters every single property even public actually told never make variable property public . may starting false assumption get go. appears people answering question maybe saying public properties need getters setters goes taught talking although maybe needs discussed well. that's probably good topic different question though... would access object properties within object method"
31,i've banging head sql server 2005 trying get lot data out. i've given database nearly 300 tables need turn mysql database. first call use bcp unfortunately produce valid csv - strings encapsulated can't deal row string comma whatever use delimiter would still hand write create table statements obviously csv tell anything data types. would better tool could connect sql server mysql copy. lose views stored procedures trigger etc hard copy table uses base types one db another... anybody know tool mind many assumptions makes simplifications occur long supports integer float datetime string. lot pruning normalising etc. anyway care keeping keys relationships anything like need initial set data fast! export data sql server 2005 mysql
32,pretty standard table set-up current application using .net xsd dataset tableadapter features. contracts table consists standard contract information column primary department. column foreign key departments table store basic department name id notes. setup functioning sql server. use xsd tool drag tables auto detects creates foreign key two tables. works great i'm main page viewing contract data. however go administrative page modify department data typically something like this: dim dtdepartment new departmentdatatable dim tadepartment new departmenttableadapter tadepartment.fill dtdepartment however point exception thrown saying effect foreign key reference broken i'm guessing since contract datatable filled. fix problem know simply remove foreign key xsd make things work fine additional integrity check xsd schema match sql schema database nice. xsd datasets ignoring foreign keys
33,anyone know good way compress decompress files folders c# quickly handling large files might necessary. compressing decompressing folders & files
34,website plays mp3s flash player. user clicks 'play' flash player automatically downloads mp3 starts playing it. easy way track many times particular song clip binary file downloaded play link link actual mp3 file javascript code pops player latter easily add logging code track number hits it. former need something track web server log make distinction. hosting plan comes webalizer nicely. javascript code answers that. however would nice know track downloads using method without switching hosts . track file downloads
35,stack overflow subversion version number bottom: svn revision: 679 want use automatic versioning .net web site application windows forms wpd projects solutions. implement sync svn revision number asp.net web site
36,using wmv videos internal site embedding web sites. works quite well internet explorer firefox. i've found ways make work firefox stops working internet explorer. want use silverlight yet especially since cannot sure clients running windows xp windows media player installed. sort universal code embeds wmp internet explorer firefox need implement user-agent-detection deliver different html different browsers embedding windows media player browsers
37,want get databases version control. anyone advice recommended articles get started i'll always want least data alumb mentions: user types administrators . i'll also often want large collection generated test data performance measurements. versioning sql server database
38,want print html c# web service. web browser control overkill function well service environment function well system tight security constraints. sort free .net library support printing basic html page code far run properly. public void printthing string document thread.currentthread.getapartmentstate != apartmentstate.sta thread thread = new thread threadstart delegate printdocument document thread.setapartmentstate apartmentstate.sta thread.start else printdocument document protected void printdocument string document webbrowser browser = new webbrowser browser.documenttext = document browser.readystate != webbrowserreadystate.complete application.doevents browser.print works fine called ui-type threads nothing happens called service-type thread. changing print showprintpreviewdialog yields following ie script error: error: dialogarguments.___ie_printtype null object. url: res: ieframe.dll preview.dlg small empty print preview dialog appears. print html document web service
39,want able display normal youtube video overlaid annotations consisting coloured rectangles frame. requirement done programmatically. youtube annotations require use front end create hand. want able generate them. what's best way ideas: build flash player ew somehow draw youtube flash player. work reverse engineer & hijack youtube's annotation system. either messing local files redirecting attempt download annotations. using greasemonkey firefox plugin idea count: download video annotating youtube videos programmatically
40,one linux server running apache php 5 multiple virtual hosts separate log files. cannot seem separate php error_log virtual hosts. overriding setting <location> httpd.conf seem anything. way separate php error_logs virtual host error_log per virtual host
41,something i've pseudo-solved many times never quite found solution for. problem come way generate n colors distinguishable possible n parameter. function creating color wheels
42,"one fun parts multi-cultural programming number formats. americans use 10 000.50 germans use 10.000 50 french use 10 000 50 first approach would take string parse backwards encounter separator use decimal separator. obvious flaw that: 10.000 would interpreted 10. another approach: string contains 2 different non-numeric characters use last one decimal separator discard others. one check occurs discards does. appears check 3 digits it. yes discard otherwise use decimal separator. obvious ""best solution"" would detect user's culture browser work frenchman using en-us windows browser. .net framework contain mythical black magic floating point parser better double. try parse trying auto-detect number format floating point number parsing: catch algorithm"
43,"yes know. existence running copy sql server 6.5 2008 absurd. stipulated best way migrate 6.5 2005 direct path documentation i've found deals upgrading 6.5 7. forget native sql server upgrade utilities script objects data try recreate scratch going attempt upgrade weekend server issues pushed back till next. ideas would welcomed course week. update. ended it: back database question master 6.5. execute sql server 2000's instcat.sql 6.5's master. allows sql server 2000's oledb provider connect 6.5. use sql server 2000's standalone ""import export data"" create dts package using oledb connect 6.5. successfully copied 6.5's tables new 2005 database also using oledb . use 6.5's enterprise manager script database's indexes triggers .sql file. execute .sql file new copy database 2005's management studio. use 6.5's enterprise manager script stored procedures. execute .sql file 2005 database. several dozen sprocs issues making incompatible 2005. mainly non-ansi joins quoted identifier issues. corrected issues re-executed .sql file. recreated 6.5's logins 2005 gave appropriate permissions. bit rinse repeat correcting stored procedures hundreds correct upgrade went great otherwise. able use management studio instead query analyzer enterprise manager 6.5 amazing difference. report queries took 20-30 seconds 6.5 database running 1-2 seconds without modification new indexes anything. expect kind immediate improvement. upgrading sql server 6.5"
44,"following arrays: $artist = array ""the roots"" ""michael jackson"" ""billy idol"" ""more"" ""and more"" ""and_yet_more"" $count = array 5 3 9 1 1 3 want generate tag cloud artists higher number $count enclosed h6 tags lowest enclosed h1 tags. what's best way generate tag cloud array using h1 h6 sizing"
45,"make mailto: links registered program would handle event program solutions found quick google search manually need automatically users program click button ""set default email client"". edit: removed reference delphi answer independent language. register windows program mailto protocol programmatically"
46,mysql incredibly useful yet proprietary replace sql command. easily emulated sql server 2005 starting new transaction select either update insert commit always little bit pain especially application therefore always keeping 2 versions statement. wonder easy universal way implement function sql server 2005 sql server 2005 implementation mysql replace
47,anybody know way create sqlite database based xsd dataset past i've used basic sqlite manager want fuse things bit .net development possible. create sqlite database based xsd data set
48,little game written c#. uses database back-end. trading card game wanted implement function cards script. mean essentially interface icard card class implements public class card056: icard contains function called game. make thing maintainable moddable would like class card source code database essentially compile first use. add change card i'll add database tell application refresh without needing assembly deployment especially since would talking 1 assembly per card means hundreds assemblies . possible register class source file instantiate etc. icard cards current = new mygame.cardlibrary.card056 cards current .onenterplay ref currentgamestate language c# extra bonus possible write script .net language. adding scripting functionality .net applications
49,"trying implement win32's messagebox using gtk. app uses sdl opengl gtk app. handle initialization gtk_init sort stuff inside messagebox function follows: int messagebox hwnd hwnd const char text const char caption uint type gtkwidget window = null gtkwidget dialog = null gtk_init &gtkargc &gtkargv window = gtk_window_new gtk_window_toplevel g_signal_connect g_object window ""delete_event"" g_callback delete_event null g_signal_connect g_object window ""destroy"" g_callback destroy null gcallback calls gtk_main_quit gtk_init_add gtkfunction gcallback null type & mb_yesno dialog = gtk_message_dialog_new gtk_window window gtk_dialog_destroy_with_parent gtk_message_question gtk_buttons_yes_no text else dialog = gtk_message_dialog_new gtk_window window gtk_dialog_destroy_with_parent gtk_message_info gtk_buttons_ok text gtk_window_set_title gtk_window dialog caption gint result = gtk_dialog_run gtk_dialog dialog gtk_main gtk_widget_destroy dialog type & mb_yesno switch result default: case gtk_response_delete_event: case gtk_response_no: return idno break case gtk_response_yes: return idyes break return idok means experienced gtk programmer realize i'm probably something horribly wrong. however problem last dialog popped function staying around process exits. ideas gtk implementation messagebox"
50,what's optimal level concurrency c++ implementation berkeleydb reasonably support many threads hammering away db throughput starts suffer resource contention i've read manual know set number locks lockers database page size etc. i'd like advice someone real-world experience bdb concurrency. application pretty simple i'll gets puts records 1kb each. cursors deleting. berkeleydb concurrency
51,best practices checking bin directories collaborative development environment using svn project level references excluded checkin easier add bin directories develop lot dotnetnuke sites seems multi-developer environment always huge task get environment setup correctly. ultimate goal course new developer checkout trunk svn restore dnn database 'work'... best practice: collaborative environment bin directory svn
52,often sort dictionary consisting keys & values value. example hash words respective frequencies want order frequency. sortedlist good single value say frequency want map back word. sorteddictionary orders key value. resort custom class cleaner way sort dictionary value
53,often run following problem. work changes project require new tables columns database. make database modifications continue work. usually remember write changes replicated live system. however always remember i've changed always remember write down. make push live system get big obvious error newcolumnx ugh. regardless fact may best practice situation version control system databases care specific database technology. want know one exists. happens work ms sql server great. version control system database structure changes
54,guidelines maintaining responsible session security php there's information web time landed one place! php session security
55,working collection classes used video playback recording. one main class acts like public interface methods like play stop pause record etc... workhorse classes video decoding video encoding. learned existence nested classes c++ i'm curious know programmers think using them. little wary really sure benefits drawbacks seem according book i'm reading used cases mine. book suggests scenario like mine good solution would nest workhorse classes inside interface class separate files classes client meant use avoid possible naming conflicts know justifications. nested classes new concept me. want see programmers think issue. use nested classes case
56,appropriate use unsigned variable signed one loop hear lot opinions wanted see anything resembling consensus. unsigned int = 0 < something.length i++ something var = something.at get idea. know java unsigned values must concious decision sun microsystems' part. use unsigned values signed ones
57,build piece project need construct post xml document web service i'd like python means expand skills it. unfortunately whilst know xml model fairly well .net i'm uncertain pros cons xml models python. anyone experience xml processing python would suggest start xml files i'll building fairly simple. xml processing python
58,would go generating list possible permutations string x characters length containing variable list characters. language would work portable. generate list possible permutations string
59,tricky one i've always relied techniques permission-based emails i.e. sending people permission send using blatantly spamish terminology. late emails send programmatically started shuffled people's spam folder automatically i'm wondering it. despite fact particular emails ones humans would mark spam specifically emails contain license keys people paid good money think they're going consider spam figure big topic essentially ignorant simpleton. make sure email send programmatically automatically marked spam
60,meaning java warning type safety: cast object list<integer> actually checking erased type list get warning try cast object type generic information following code: object object = getmylist list<integer> list = list<integer> object meaning type safety warning certain java generics casts
61,lucene multiple indexes covered one partition each. search different indexes return results different scores results different servers match exactly. i.e. searched : name - john smith dob - 11 11 1934 partition 0 would return score 0.345 partition 1 would return score 0.337 match exactly name dob. lucene score results
62,please note question 2008 historic interest. what's best way create iphone application runs landscape mode start regardless position device programmatically using interface builder. iphone app landscape mode 2008 systems
63,part everyday work maintaining extending legacy vb6 applications. common engine written c c++ vb6 uses functions order improve performance. comes asynchronous programming c interface enough rely com controls fire events vb6. problem register control vb6 vb loads control memory unload quit vb6 ide. control loaded whole time unable recompile vc6 dll file locked. solution found enable control vb use createobject full name control. problem must declare control object vb6 knows nothing interface using access intellisense pain. idea tell vb6 unload controls quitting application directly ide unload com control working vb6 ide
64,"way launch ie mobile's ""favorites"" screen directly specifying command line parameter programmatically launch ie mobile favorites screen"
65,"rails-app sign box ""remember me"" checkbox. users check box remain logged even closing browser. i'm keeping track whether users logged storing id user's session. sessions implemented rails session cookies persistent. make persistent: class applicationcontroller < actioncontroller::base before_filter :update_session_expiration_date private def update_session_expiration_date options = actioncontroller::base.session_options unless options :session_expires options :session_expires = 1.year.from_now end end end seems like hack surprising common functionality. better way edit gareth's answer pretty good would still like answer someone familiar rails 2 unique cookiesessionstore . implementation ""remember me"" rails application"
66,using photoshop's javascript api find fonts given psd. given font name returned api want find actual physical font file font name corresponds disc. happening python program running osx guess i'm looking one of: photoshop javascript python function osx api call python find full path font display name mac
67,i've writing web services .net app i'm ready consume them. i've seen numerous examples homegrown code consuming service opposed using auto generated methods visual studio creates adding web reference. advantages homegrown consumption web services
68,"assume something like following list<string> myitems = new list<string> ""item 1"" ""item 2"" ""item 3"" combobox box = new combobox box.datasource = myitems combobox box2 = new combobox box2.datasource = myitems 2 combo boxes bound array everything works fine. change value one combo box changes combo boxes one selected. know arrays always passed reference learned learned c :d earth would combo boxes change together believe combo box control modifying collection all. workaround would achieve functionality expected desired combobox box = new combobox box.datasource = myitems.toarray winforms combobox data binding gotcha"
69,cross-platform python application needs generate jpeg preview first page pdf. mac spawning sips. something similarly simple windows get preview jpeg pdf windows
70,ruby rails website makes http calls external web service. day get systemexit stacktrace error email call service failed. try exact query site moments later works fine. happening since site went live i've luck tracking causes it. ruby version 1.8.6 rails version 1.2.6. anyone else problem error stacktrace. systemexit occurred usr local lib ruby gems 1.8 gems rails-1.2.6 lib fcgi_handler.rb:116:in exit' usr local lib ruby gems 1.8 gems rails-1.2.6 lib fcgi_handler.rb:116:in exit_now_handler' usr local lib ruby gems 1.8 gems activesupport-1.4.4 lib active_support inflector.rb:250:in to_proc' usr local lib ruby 1.8 net protocol.rb:133:in call' usr local lib ruby 1.8 net protocol.rb:133:in sysread' usr local lib ruby 1.8 net protocol.rb:133:in rbuf_fill' usr local lib ruby 1.8 timeout.rb:56:in timeout' usr local lib ruby 1.8 timeout.rb:76:in timeout' usr local lib ruby 1.8 net protocol.rb:132:in rbuf_fill' usr local lib ruby 1.8 net protocol.rb:116:in readuntil' usr local lib ruby 1.8 net protocol.rb:126:in readline' usr local lib ruby 1.8 net http.rb:2017:in read_status_line' usr local lib ruby 1.8 net http.rb:2006:in read_new' usr local lib ruby 1.8 net http.rb:1047:in request' usr local lib ruby 1.8 net http.rb:945:in request_get' usr local lib ruby 1.8 net http.rb:380:in get_response' usr local lib ruby 1.8 net http.rb:543:in start' usr local lib ruby 1.8 net http.rb:379:in get_response' frequent systemexit ruby making http calls
71,starting work hobby project python codebase would like set form continuous integration i.e. running battery test-cases time check-in made sending nag e-mails responsible persons tests fail similar cruisecontrol teamcity. realize could hooks vcses requires tests run machine version control server elegant would like. anyone suggestions small user-friendly open-source continuous integration system suitable python codebase continuous integration system python codebase
72,"form-based authentication websites believe stack overflow resource specific technical questions also general guidelines solve variations common problems. ""form based authentication websites"" fine topic experiment. include topics as: log log remain logged managing cookies including recommended settings ssl https encryption store passwords using secret questions forgotten username password functionality use nonces prevent cross-site request forgeries csrf openid ""remember me"" checkbox browser autocompletion usernames passwords secret urls public url protected digest checking password strength e-mail validation much form based authentication... include things like: roles authorization http basic authentication please help us by: suggesting subtopics submitting good articles subject editing official answer definitive guide form-based website authentication"
73,would like test function tuple set fringe cases normal values. example testing function returns true whenever given three lengths form valid triangle would specific cases negative small large numbers values close-to overflowed etc. main aim generate combinations values without repetition order get set test data. inf 0 -1 5 10 1000 10 5 5 0 -1 5 1000 inf inf ... note: actually know answer might helpful others challenge people here! --will post answer later on. use combinations sets test data
74,uploading first decently sized web app shared host provided fresh set challenges mean sleepless nights. issue certainly developed application medium trust clue was. mitigated issues save one. written installer admin able specify connection string preferences cannot find way write web.config medium trust. anyone solution putting preferences another file write web.config medium trust
75,reading joel software came across joel spolsky saying something particular type programmer knowing difference int integer java c# object-oriented programming languages . difference difference int integer java c#
76,"wonder guys manage deployment database 2 sql servers specifically sql server 2005. development live one. part buildscript standard windows batch even current complexity scripts might switch powershell later enterprise manager management studio express count. would copy .mdf file attach always bit careful working binary data seems compatiblity issue even though development live run version server time . - given lack ""explain create table"" t-sql - something exports existing database sql-scripts run target server yes tool automatically dump given database sql queries runs command line enterprise manager management studio express count . lastly - given fact live database already contains data deployment may involve creating tables rather checking difference structure alter table live ones instead may also need data verification conversion existing fields change. hear lot great stuff red gate products hobby projects price bit steep. using automatically deploy sql server databases test live deploying sql server databases test live"
77,i'm writing cms application php one requirements must able interface customer's exchange server. i've written functionality times always used webdav i'm leaning away that. running site iis apache preference windows server 2008. things would need include adding contacts given user's address book sending emails given user running reports contacts user. pretty easy webdav better way require functionality likely deprecated time soon. ideas update: justin love idea using com objects worry maintaining 3rd product make everything work... john write web service c# interface functions access php app also little bit way. far i'm 100% convinced either better webdav... anyone show i'm silly best way access exchange using php
78,several ways iterate result set. tradeoff cx_oracle: iterate result set
79,"i'm looking performant reasonably robust rng using special hardware. use mathematical methods mersenne twister etc ""collect entropy"" machine whatever. linux etc drand48 generates 48 random bits. i'd like similar function class c++ c# generate 32 bits randomness low-order bits equally random high-order bits. cryptographically secure must use based c-language rand .net system.random. source code links source etc. would appreciated! failing type rng looking robust random number generation"
80,mfc application i'm trying migrate uses afxext.h causes _afxdll get set causes error set mt: please use md switch _afxdll builds research date indicates impossible build application execution windows nt 4.0 using visual studio c++ case 2005. really true workaround available build windows nt 4.0 using visual studio 2005
81,want print first 10000 prime numbers. anyone give efficient code clarifications: matter code inefficient n >10000. size code matter. cannot hard code values manner. efficient code first 10000 prime numbers
82,ruby 1.8 subtle differences proc lambda one hand proc.new other. differences give guidelines decide one choose ruby 1.9 proc lambda different. what's deal use lambda use proc.new
83,database table one fields primary key unique index it. want swap values column two rows. could done two hacks know are: delete rows re-insert them. update rows value swap update actual value. want go seem appropriate solution problem. could anyone help swap unique indexed column values database
84,would like version property application incremented build i'm sure enable functionality visual studio 2005 2008 . tried specify assemblyversion 1.0. get exactly want. i'm also using settings file earlier attempts assembly version changed settings got reset default since application looked settings file another directory. would like able display version number form 1.1.38 user finds problem log version using well tell upgrade old release. short explanation versioning works would also appreciated. build revision number get incremented automatically update version number
85,i've trouble getting asp.net application automatically log users intranet site i'm building. matter googling experimentation applied always login box displayed ie7. i've got windows authentication mode set web.config disabled anonymous access configured correct default domain iis still asking user log annoyingly user required provide domain domain\auser causing problems non-technical visitors. thank zeus password remembering functionality. i'm network administrator possible something active directory set incorrectly could missing something simple. please note want impersonate user need know iprincipal.name property matches valid record user database hence authenticating user application. end would useful checklist configuration requirements ad asp.net iis work together manner reference debugging hopefully reducing user friction. checklist iis 6 asp.net windows authentication
86,fastest yet secure way encrypt passwords php preferably whichever method choose portable words later migrate website different server passwords continue work method using told dependent exact versions libraries installed server. encrypting passwords
87,remember whether dreaming seem recall function allowed something like foo iter_attr array python objects attribute name i've looked docs kind thing fall obvious listed headers using 'in' match attribute python objects array
