,AllTags,tags_list,corrected_tags_list,.net,asp.net,c,c#,c++,css,database,html,java,javascript,language-agnostic,linux,mysql,performance,php,python,ruby,sql,sql-server,svn,unit-testing,visual-studio,windows,winforms,xml
26,windows svn 64-bit,"['windows', 'svn', '64-bit']","['windows', 'svn']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
27,c# sql vb.net ascii hex,"['c#', 'sql', 'vb.net', 'ascii', 'hex']","['c#', 'sql']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,sql asp.net xml sitemap,"['sql', 'asp.net', 'xml', 'sitemap']","['sql', 'asp.net', 'xml']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,java xml csv data-conversion,"['java', 'xml', 'csv', 'data-conversion']","['java', 'xml']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,java php oop theory,"['java', 'php', 'oop', 'theory']","['java', 'php']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,mysql sql-server csv sql-server-2005 bcp,"['mysql', 'sql-server', 'csv', 'sql-server-2005', 'bcp']","['mysql', 'sql-server']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32,.net database xsd,"['.net', 'database', 'xsd']","['.net', 'database']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,c# .net file compression,"['c#', '.net', 'file', 'compression']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,php apache logging download analytics,"['php', 'apache', 'logging', 'download', 'analytics']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,.net asp.net svn versioning,"['.net', 'asp.net', 'svn', 'versioning']","['.net', 'asp.net', 'svn']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,windows embed media,"['windows', 'embed', 'media']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,sql-server database svn version-control,"['sql-server', 'database', 'svn', 'version-control']","['sql-server', 'database', 'svn']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
38,c# html web-services printing,"['c#', 'html', 'web-services', 'printing']","['c#', 'html']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,youtube reverse-engineering,"['youtube', 'reverse-engineering']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,linux apache virtualhost,"['linux', 'apache', 'virtualhost']",['linux'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,algorithm language-agnostic colors color-space,"['algorithm', 'language-agnostic', 'colors', 'color-space']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,c# .net asp.net internationalization globalization,"['c#', '.net', 'asp.net', 'internationalization', 'globalization']","['c#', '.net', 'asp.net']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,sql-server migration,"['sql-server', 'migration']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,php arrays tag-cloud,"['php', 'arrays', 'tag-cloud']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,windows mailto,"['windows', 'mailto']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,mysql sql-server sql-server-2005,"['mysql', 'sql-server', 'sql-server-2005']","['mysql', 'sql-server']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
47,.net database sqlite,"['.net', 'database', 'sqlite']","['.net', 'database']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,c# .net scripting compiler-construction,"['c#', '.net', 'scripting', 'compiler-construction']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,c linux gtk x11,"['c', 'linux', 'gtk', 'x11']","['c', 'linux']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,c++ berkeley-db,"['c++', 'berkeley-db']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,svn collaboration,"['svn', 'collaboration']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,c# .net sorting dictionary,"['c#', '.net', 'sorting', 'dictionary']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,sql database oracle version-control,"['sql', 'database', 'oracle', 'version-control']","['sql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,security php,"['security', 'php']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,c++ oop class nested-class,"['c++', 'oop', 'class', 'nested-class']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,language-agnostic types,"['language-agnostic', 'types']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,python xml,"['python', 'xml']","['python', 'xml']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
58,string language-agnostic cross-platform,"['string', 'language-agnostic', 'cross-platform']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,email email-spam,"['email', 'email-spam']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,java generics warnings casting type-safety,"['java', 'generics', 'warnings', 'casting', 'type-safety']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,search lucene,"['search', 'lucene']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ios objective-c landscape,"['ios', 'objective-c', 'landscape']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,com vb6,"['com', 'vb6']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,internet-explorer windows-mobile pocketpc,"['internet-explorer', 'windows-mobile', 'pocketpc']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,ruby-on-rails ruby http,"['ruby-on-rails', 'ruby', 'http']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,python macos fonts photoshop,"['python', 'macos', 'fonts', 'photoshop']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,.net web-services,"['.net', 'web-services']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,c# winforms data-binding,"['c#', 'winforms', 'data-binding']","['c#', 'winforms']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,python windows image pdf,"['python', 'windows', 'image', 'pdf']","['python', 'windows']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,ruby-on-rails ruby crash,"['ruby-on-rails', 'ruby', 'crash']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,python continuous-integration extreme-programming,"['python', 'continuous-integration', 'extreme-programming']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,security http authentication language-agnostic article,"['security', 'http', 'authentication', 'language-agnostic', 'article']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,unit-testing language-agnostic testing,"['unit-testing', 'language-agnostic', 'testing']","['unit-testing', 'language-agnostic']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,c# asp.net medium-trust,"['c#', 'asp.net', 'medium-trust']","['c#', 'asp.net']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,c# java integer int,"['c#', 'java', 'integer', 'int']","['c#', 'java']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,sql-server sql-server-2005 deployment release-management,"['sql-server', 'sql-server-2005', 'deployment', 'release-management']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,php windows exchange-server webdav mapi,"['php', 'windows', 'exchange-server', 'webdav', 'mapi']","['php', 'windows']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,python sql database oracle cx-oracle,"['python', 'sql', 'database', 'oracle', 'cx-oracle']","['python', 'sql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
79,c# c++ random,"['c#', 'c++', 'random']","['c#', 'c++']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,c++ visual-studio compatibility windows-nt,"['c++', 'visual-studio', 'compatibility', 'windows-nt']","['c++', 'visual-studio']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,performance algorithm primes,"['performance', 'algorithm', 'primes']",['performance'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,ruby lambda proc,"['ruby', 'lambda', 'proc']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,sql database,"['sql', 'database']","['sql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,c# visual-studio versioning,"['c#', 'visual-studio', 'versioning']","['c#', 'visual-studio']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,asp.net iis authentication active-directory,"['asp.net', 'iis', 'authentication', 'active-directory']",['asp.net'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,php encryption passwords,"['php', 'encryption', 'passwords']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,python arrays iteration,"['python', 'arrays', 'iteration']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,php database odbc db2 ibm-midrange,"['php', 'database', 'odbc', 'db2', 'ibm-midrange']","['php', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,.net database embedded-database,"['.net', 'database', 'embedded-database']","['.net', 'database']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,c# .net visual-studio unit-testing nunit,"['c#', '.net', 'visual-studio', 'unit-testing', 'nunit']","['c#', '.net', 'visual-studio', 'unit-testing']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
91,.net sql-server-2005 oledb legacy visual-foxpro,"['.net', 'sql-server-2005', 'oledb', 'legacy', 'visual-foxpro']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,python django views oop,"['python', 'django', 'views', 'oop']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,string language-agnostic format title-case,"['string', 'language-agnostic', 'format', 'title-case']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,c# .net performance reflection types,"['c#', '.net', 'performance', 'reflection', 'types']","['c#', '.net', 'performance']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,.net internationalization date globalization,"['.net', 'internationalization', 'date', 'globalization']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,python mysql postgresql bpgsql,"['python', 'mysql', 'postgresql', 'bpgsql']","['python', 'mysql']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
97,math linear-algebra system linear-equation,"['math', 'linear-algebra', 'system', 'linear-equation']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,python itertools,"['python', 'itertools']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,asp-classic sftp,"['asp-classic', 'sftp']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,windows visual-studio registry installation,"['windows', 'visual-studio', 'registry', 'installation']","['windows', 'visual-studio']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101,algorithm language-agnostic,"['algorithm', 'language-agnostic']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,c# linq left-join,"['c#', 'linq', 'left-join']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,sql-server database,"['sql-server', 'database']","['sql-server', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,msbuild cruisecontrol.net,"['msbuild', 'cruisecontrol.net']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,javascript html css fonts,"['javascript', 'html', 'css', 'fonts']","['javascript', 'html', 'css']",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,visual-studio xslt documentation sandcastle xml-comments,"['visual-studio', 'xslt', 'documentation', 'sandcastle', 'xml-comments']",['visual-studio'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,svn git,"['svn', 'git']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,php variables pass-by-reference pass-by-value,"['php', 'variables', 'pass-by-reference', 'pass-by-value']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,php eclipse debugging phpstorm xdebug,"['php', 'eclipse', 'debugging', 'phpstorm', 'xdebug']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,language-agnostic unicode localization internationalization,"['language-agnostic', 'unicode', 'localization', 'internationalization']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,html css text,"['html', 'css', 'text']","['html', 'css']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,sql-server sql-server-2005 windows-server-2003,"['sql-server', 'sql-server-2005', 'windows-server-2003']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,c# database loops connection,"['c#', 'database', 'loops', 'connection']","['c#', 'database']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,string postgresql escaping,"['string', 'postgresql', 'escaping']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,c# .net exception exception-handling,"['c#', '.net', 'exception', 'exception-handling']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,vb6,['vb6'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,python oop methods monkeypatching,"['python', 'oop', 'methods', 'monkeypatching']",['python'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,linux unix vi,"['linux', 'unix', 'vi']",['linux'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,c# asp.net,"['c#', 'asp.net']","['c#', 'asp.net']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,ruby-on-rails ruby exception plugins,"['ruby-on-rails', 'ruby', 'exception', 'plugins']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,ip lookup country,"['ip', 'lookup', 'country']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,c# winforms flash adobe macromedia,"['c#', 'winforms', 'flash', 'adobe', 'macromedia']","['c#', 'winforms']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,c# file-locking,"['c#', 'file-locking']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,c++ regex,"['c++', 'regex']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,sql sql-server sql-server-2005 indexing full-text-search,"['sql', 'sql-server', 'sql-server-2005', 'indexing', 'full-text-search']","['sql', 'sql-server']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
126,math language-agnostic floating-point,"['math', 'language-agnostic', 'floating-point']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,language-agnostic opengl 3d directx,"['language-agnostic', 'opengl', '3d', 'directx']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,c++ windows multithreading debugging memory,"['c++', 'windows', 'multithreading', 'debugging', 'memory']","['c++', 'windows']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,unix size,"['unix', 'size']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,oop artificial-intelligence naivebayes email-spam,"['oop', 'artificial-intelligence', 'naivebayes', 'email-spam']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,c++ exception try-catch,"['c++', 'exception', 'try-catch']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,sql database performance indexing database-indexes,"['sql', 'database', 'performance', 'indexing', 'database-indexes']","['sql', 'database', 'performance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
133,windows language-agnostic chm winhelp,"['windows', 'language-agnostic', 'chm', 'winhelp']","['windows', 'language-agnostic']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,c malloc,"['c', 'malloc']",['c'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,sql database indexing,"['sql', 'database', 'indexing']","['sql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,svn msbuild cruisecontrol.net,"['svn', 'msbuild', 'cruisecontrol.net']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,python performance data-structures graph-theory,"['python', 'performance', 'data-structures', 'graph-theory']","['python', 'performance']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
138,ruby open-source,"['ruby', 'open-source']",['ruby'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,web-applications dns subdomain account,"['web-applications', 'dns', 'subdomain', 'account']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,c# .net safari viewstate,"['c#', '.net', 'safari', 'viewstate']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,hyperlink powerpoint,"['hyperlink', 'powerpoint']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,regex parsing,"['regex', 'parsing']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,c# c++ sockets,"['c#', 'c++', 'sockets']","['c#', 'c++']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,svn version-control cvs,"['svn', 'version-control', 'cvs']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,mysql database database-performance,"['mysql', 'database', 'database-performance']","['mysql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
146,sql xss sql-injection,"['sql', 'xss', 'sql-injection']",['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,.net collections queue,"['.net', 'collections', 'queue']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,.net .net-3.5 msbuild nant,"['.net', '.net-3.5', 'msbuild', 'nant']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
