,AllTags,tags_list,corrected_tags_list
42,c# .net asp.net internationalization globalization,"['c#', '.net', 'asp.net', 'internationalization', 'globalization']","['c#', '.net', 'asp.net']"
43,sql-server migration,"['sql-server', 'migration']",['sql-server']
44,php arrays tag-cloud,"['php', 'arrays', 'tag-cloud']",['php']
45,windows mailto,"['windows', 'mailto']",['windows']
46,mysql sql-server sql-server-2005,"['mysql', 'sql-server', 'sql-server-2005']","['mysql', 'sql-server']"
47,.net database sqlite,"['.net', 'database', 'sqlite']","['.net', 'database']"
48,c# .net scripting compiler-construction,"['c#', '.net', 'scripting', 'compiler-construction']","['c#', '.net']"
49,c linux gtk x11,"['c', 'linux', 'gtk', 'x11']","['c', 'linux']"
50,c++ berkeley-db,"['c++', 'berkeley-db']",['c++']
51,svn collaboration,"['svn', 'collaboration']",['svn']
52,c# .net sorting dictionary,"['c#', '.net', 'sorting', 'dictionary']","['c#', '.net']"
53,sql database oracle version-control,"['sql', 'database', 'oracle', 'version-control']","['sql', 'database']"
54,security php,"['security', 'php']",['php']
55,c++ oop class nested-class,"['c++', 'oop', 'class', 'nested-class']",['c++']
56,language-agnostic types,"['language-agnostic', 'types']",['language-agnostic']
57,python xml,"['python', 'xml']","['python', 'xml']"
58,string language-agnostic cross-platform,"['string', 'language-agnostic', 'cross-platform']",['language-agnostic']
59,email email-spam,"['email', 'email-spam']",[]
60,java generics warnings casting type-safety,"['java', 'generics', 'warnings', 'casting', 'type-safety']",['java']
61,search lucene,"['search', 'lucene']",[]
62,ios objective-c landscape,"['ios', 'objective-c', 'landscape']",[]
63,com vb6,"['com', 'vb6']",[]
64,internet-explorer windows-mobile pocketpc,"['internet-explorer', 'windows-mobile', 'pocketpc']",[]
65,ruby-on-rails ruby http,"['ruby-on-rails', 'ruby', 'http']",['ruby']
66,python macos fonts photoshop,"['python', 'macos', 'fonts', 'photoshop']",['python']
67,.net web-services,"['.net', 'web-services']",['.net']
68,c# winforms data-binding,"['c#', 'winforms', 'data-binding']","['c#', 'winforms']"
69,python windows image pdf,"['python', 'windows', 'image', 'pdf']","['python', 'windows']"
70,ruby-on-rails ruby crash,"['ruby-on-rails', 'ruby', 'crash']",['ruby']
71,python continuous-integration extreme-programming,"['python', 'continuous-integration', 'extreme-programming']",['python']
72,security http authentication language-agnostic article,"['security', 'http', 'authentication', 'language-agnostic', 'article']",['language-agnostic']
73,unit-testing language-agnostic testing,"['unit-testing', 'language-agnostic', 'testing']","['unit-testing', 'language-agnostic']"
74,c# asp.net medium-trust,"['c#', 'asp.net', 'medium-trust']","['c#', 'asp.net']"
75,c# java integer int,"['c#', 'java', 'integer', 'int']","['c#', 'java']"
76,sql-server sql-server-2005 deployment release-management,"['sql-server', 'sql-server-2005', 'deployment', 'release-management']",['sql-server']
77,php windows exchange-server webdav mapi,"['php', 'windows', 'exchange-server', 'webdav', 'mapi']","['php', 'windows']"
78,python sql database oracle cx-oracle,"['python', 'sql', 'database', 'oracle', 'cx-oracle']","['python', 'sql', 'database']"
79,c# c++ random,"['c#', 'c++', 'random']","['c#', 'c++']"
80,c++ visual-studio compatibility windows-nt,"['c++', 'visual-studio', 'compatibility', 'windows-nt']","['c++', 'visual-studio']"
81,performance algorithm primes,"['performance', 'algorithm', 'primes']",['performance']
82,ruby lambda proc,"['ruby', 'lambda', 'proc']",['ruby']
83,sql database,"['sql', 'database']","['sql', 'database']"
84,c# visual-studio versioning,"['c#', 'visual-studio', 'versioning']","['c#', 'visual-studio']"
85,asp.net iis authentication active-directory,"['asp.net', 'iis', 'authentication', 'active-directory']",['asp.net']
86,php encryption passwords,"['php', 'encryption', 'passwords']",['php']
87,python arrays iteration,"['python', 'arrays', 'iteration']",['python']
88,php database odbc db2 ibm-midrange,"['php', 'database', 'odbc', 'db2', 'ibm-midrange']","['php', 'database']"
89,.net database embedded-database,"['.net', 'database', 'embedded-database']","['.net', 'database']"
90,c# .net visual-studio unit-testing nunit,"['c#', '.net', 'visual-studio', 'unit-testing', 'nunit']","['c#', '.net', 'visual-studio', 'unit-testing']"
91,.net sql-server-2005 oledb legacy visual-foxpro,"['.net', 'sql-server-2005', 'oledb', 'legacy', 'visual-foxpro']",['.net']
92,python django views oop,"['python', 'django', 'views', 'oop']",['python']
93,string language-agnostic format title-case,"['string', 'language-agnostic', 'format', 'title-case']",['language-agnostic']
94,c# .net performance reflection types,"['c#', '.net', 'performance', 'reflection', 'types']","['c#', '.net', 'performance']"
95,.net internationalization date globalization,"['.net', 'internationalization', 'date', 'globalization']",['.net']
96,python mysql postgresql bpgsql,"['python', 'mysql', 'postgresql', 'bpgsql']","['python', 'mysql']"
97,math linear-algebra system linear-equation,"['math', 'linear-algebra', 'system', 'linear-equation']",[]
98,python itertools,"['python', 'itertools']",['python']
99,asp-classic sftp,"['asp-classic', 'sftp']",[]
100,windows visual-studio registry installation,"['windows', 'visual-studio', 'registry', 'installation']","['windows', 'visual-studio']"
101,algorithm language-agnostic,"['algorithm', 'language-agnostic']",['language-agnostic']
102,c# linq left-join,"['c#', 'linq', 'left-join']",['c#']
103,sql-server database,"['sql-server', 'database']","['sql-server', 'database']"
104,msbuild cruisecontrol.net,"['msbuild', 'cruisecontrol.net']",[]
105,javascript html css fonts,"['javascript', 'html', 'css', 'fonts']","['javascript', 'html', 'css']"
106,visual-studio xslt documentation sandcastle xml-comments,"['visual-studio', 'xslt', 'documentation', 'sandcastle', 'xml-comments']",['visual-studio']
107,svn git,"['svn', 'git']",['svn']
108,php variables pass-by-reference pass-by-value,"['php', 'variables', 'pass-by-reference', 'pass-by-value']",['php']
109,php eclipse debugging phpstorm xdebug,"['php', 'eclipse', 'debugging', 'phpstorm', 'xdebug']",['php']
110,language-agnostic unicode localization internationalization,"['language-agnostic', 'unicode', 'localization', 'internationalization']",['language-agnostic']
111,html css text,"['html', 'css', 'text']","['html', 'css']"
112,sql-server sql-server-2005 windows-server-2003,"['sql-server', 'sql-server-2005', 'windows-server-2003']",['sql-server']
113,c# database loops connection,"['c#', 'database', 'loops', 'connection']","['c#', 'database']"
114,string postgresql escaping,"['string', 'postgresql', 'escaping']",[]
115,c# .net exception exception-handling,"['c#', '.net', 'exception', 'exception-handling']","['c#', '.net']"
116,vb6,['vb6'],[]
117,python oop methods monkeypatching,"['python', 'oop', 'methods', 'monkeypatching']",['python']
118,linux unix vi,"['linux', 'unix', 'vi']",['linux']
119,c# asp.net,"['c#', 'asp.net']","['c#', 'asp.net']"
120,ruby-on-rails ruby exception plugins,"['ruby-on-rails', 'ruby', 'exception', 'plugins']",['ruby']
121,ip lookup country,"['ip', 'lookup', 'country']",[]
122,c# winforms flash adobe macromedia,"['c#', 'winforms', 'flash', 'adobe', 'macromedia']","['c#', 'winforms']"
123,c# file-locking,"['c#', 'file-locking']",['c#']
124,c++ regex,"['c++', 'regex']",['c++']
125,sql sql-server sql-server-2005 indexing full-text-search,"['sql', 'sql-server', 'sql-server-2005', 'indexing', 'full-text-search']","['sql', 'sql-server']"
126,math language-agnostic floating-point,"['math', 'language-agnostic', 'floating-point']",['language-agnostic']
127,language-agnostic opengl 3d directx,"['language-agnostic', 'opengl', '3d', 'directx']",['language-agnostic']
128,c++ windows multithreading debugging memory,"['c++', 'windows', 'multithreading', 'debugging', 'memory']","['c++', 'windows']"
129,unix size,"['unix', 'size']",[]
130,oop artificial-intelligence naivebayes email-spam,"['oop', 'artificial-intelligence', 'naivebayes', 'email-spam']",[]
131,c++ exception try-catch,"['c++', 'exception', 'try-catch']",['c++']
132,sql database performance indexing database-indexes,"['sql', 'database', 'performance', 'indexing', 'database-indexes']","['sql', 'database', 'performance']"
133,windows language-agnostic chm winhelp,"['windows', 'language-agnostic', 'chm', 'winhelp']","['windows', 'language-agnostic']"
134,c malloc,"['c', 'malloc']",['c']
135,sql database indexing,"['sql', 'database', 'indexing']","['sql', 'database']"
136,svn msbuild cruisecontrol.net,"['svn', 'msbuild', 'cruisecontrol.net']",['svn']
137,python performance data-structures graph-theory,"['python', 'performance', 'data-structures', 'graph-theory']","['python', 'performance']"
138,ruby open-source,"['ruby', 'open-source']",['ruby']
139,web-applications dns subdomain account,"['web-applications', 'dns', 'subdomain', 'account']",[]
140,c# .net safari viewstate,"['c#', '.net', 'safari', 'viewstate']","['c#', '.net']"
141,hyperlink powerpoint,"['hyperlink', 'powerpoint']",[]
142,regex parsing,"['regex', 'parsing']",[]
143,c# c++ sockets,"['c#', 'c++', 'sockets']","['c#', 'c++']"
144,svn version-control cvs,"['svn', 'version-control', 'cvs']",['svn']
145,mysql database database-performance,"['mysql', 'database', 'database-performance']","['mysql', 'database']"
146,sql xss sql-injection,"['sql', 'xss', 'sql-injection']",['sql']
147,.net collections queue,"['.net', 'collections', 'queue']",['.net']
148,.net .net-3.5 msbuild nant,"['.net', '.net-3.5', 'msbuild', 'nant']",['.net']
149,c# .net io filelock,"['c#', '.net', 'io', 'filelock']","['c#', '.net']"
150,ruby unix curses,"['ruby', 'unix', 'curses']",['ruby']
151,c audio rockbox,"['c', 'audio', 'rockbox']",['c']
152,language-agnostic colors,"['language-agnostic', 'colors']",['language-agnostic']
153,msbuild build-process cruisecontrol.net,"['msbuild', 'build-process', 'cruisecontrol.net']",[]
154,algorithm language-agnostic colors,"['algorithm', 'language-agnostic', 'colors']",['language-agnostic']
155,windows file filesystems utilities,"['windows', 'file', 'filesystems', 'utilities']",['windows']
156,apache-flex air,"['apache-flex', 'air']",[]
157,unit-testing glossary,"['unit-testing', 'glossary']",['unit-testing']
158,.net nhibernate orm subsonic,"['.net', 'nhibernate', 'orm', 'subsonic']",['.net']
159,.net parallel-processing,"['.net', 'parallel-processing']",['.net']
160,sql-server windows-server-2008,"['sql-server', 'windows-server-2008']",['sql-server']
161,asp.net javascript validation,"['asp.net', 'javascript', 'validation']","['asp.net', 'javascript']"
162,php apache xampp server-configuration,"['php', 'apache', 'xampp', 'server-configuration']",['php']
163,asp.net iis,"['asp.net', 'iis']",['asp.net']
164,php apache authentication http-authentication,"['php', 'apache', 'authentication', 'http-authentication']",['php']
165,sql permissions,"['sql', 'permissions']",['sql']
166,php parameters error-handling,"['php', 'parameters', 'error-handling']",['php']
167,ajax url rest address-bar,"['ajax', 'url', 'rest', 'address-bar']",[]
168,python syntax binary integer literals,"['python', 'syntax', 'binary', 'integer', 'literals']",['python']
169,macos vim emacs editor,"['macos', 'vim', 'emacs', 'editor']",[]
170,visual-studio unit-testing continuous-integration cruisecontrol.net,"['visual-studio', 'unit-testing', 'continuous-integration', 'cruisecontrol.net']","['visual-studio', 'unit-testing']"
171,html ios iphone favicon apple-touch-icon,"['html', 'ios', 'iphone', 'favicon', 'apple-touch-icon']",['html']
172,version-control dvcs,"['version-control', 'dvcs']",[]
173,c# wpf silverlight polymorphism dependency-properties,"['c#', 'wpf', 'silverlight', 'polymorphism', 'dependency-properties']",['c#']
174,c# exception error-handling,"['c#', 'exception', 'error-handling']",['c#']
175,windows iis shell command-line terminal,"['windows', 'iis', 'shell', 'command-line', 'terminal']",['windows']
176,iphone favicon apple-touch-icon,"['iphone', 'favicon', 'apple-touch-icon']",[]
177,sql-server sql-server-2008,"['sql-server', 'sql-server-2008']",['sql-server']
178,php mysql database svn migration,"['php', 'mysql', 'database', 'svn', 'migration']","['php', 'mysql', 'database', 'svn']"
179,sql-server,['sql-server'],['sql-server']
180,ruby language-agnostic xfdl,"['ruby', 'language-agnostic', 'xfdl']","['ruby', 'language-agnostic']"
181,visual-studio projects-and-solutions,"['visual-studio', 'projects-and-solutions']",['visual-studio']
182,windows xml linux,"['windows', 'xml', 'linux']","['windows', 'xml', 'linux']"
183,podcast,['podcast'],[]
184,compiler-construction language-agnostic,"['compiler-construction', 'language-agnostic']",['language-agnostic']
185,statistics spss,"['statistics', 'spss']",[]
186,asp.net profile,"['asp.net', 'profile']",['asp.net']
187,web-services application-integration,"['web-services', 'application-integration']",[]
188,resources,['resources'],[]
189,python xml database protocol-buffers,"['python', 'xml', 'database', 'protocol-buffers']","['python', 'xml', 'database']"
190,php regex html-parsing preg-replace,"['php', 'regex', 'html-parsing', 'preg-replace']",['php']
191,c# .net unit-testing testing,"['c#', '.net', 'unit-testing', 'testing']","['c#', '.net', 'unit-testing']"
192,php ternary-operator,"['php', 'ternary-operator']",['php']
193,svn version-control,"['svn', 'version-control']",['svn']
194,python,['python'],['python']
195,c# winapi mouse,"['c#', 'winapi', 'mouse']",['c#']
196,c# image image-processing artificial-intelligence,"['c#', 'image', 'image-processing', 'artificial-intelligence']",['c#']
197,python cross-platform platform-specific platform-agnostic,"['python', 'cross-platform', 'platform-specific', 'platform-agnostic']",['python']
198,asp.net javascript anchor quotes,"['asp.net', 'javascript', 'anchor', 'quotes']","['asp.net', 'javascript']"
199,c# vb.net file csv import,"['c#', 'vb.net', 'file', 'csv', 'import']",['c#']
200,math maps mapping latitude-longitude,"['math', 'maps', 'mapping', 'latitude-longitude']",[]
201,c# asp.net-mvc,"['c#', 'asp.net-mvc']",['c#']
202,asp.net .net linq-to-sql datacontext,"['asp.net', '.net', 'linq-to-sql', 'datacontext']","['asp.net', '.net']"
203,c++ performance cpu throttling,"['c++', 'performance', 'cpu', 'throttling']","['c++', 'performance']"
204,python list tuples,"['python', 'list', 'tuples']",['python']
205,macros lisp,"['macros', 'lisp']",[]
206,c# data-binding,"['c#', 'data-binding']",['c#']
207,c# .net double int,"['c#', '.net', 'double', 'int']","['c#', '.net']"
208,language-agnostic oop parameters pass-by-reference pass-by-value,"['language-agnostic', 'oop', 'parameters', 'pass-by-reference', 'pass-by-value']",['language-agnostic']
209,svn,['svn'],['svn']
210,svn version-control branch branching-and-merging,"['svn', 'version-control', 'branch', 'branching-and-merging']",['svn']
211,windows delphi winapi dll,"['windows', 'delphi', 'winapi', 'dll']",['windows']
212,sql-server unit-testing tdd,"['sql-server', 'unit-testing', 'tdd']","['sql-server', 'unit-testing']"
213,rss,['rss'],[]
214,user-interface model-view-controller design-patterns terminology mvp,"['user-interface', 'model-view-controller', 'design-patterns', 'terminology', 'mvp']",[]
215,java testing coldfusion code-coverage,"['java', 'testing', 'coldfusion', 'code-coverage']",['java']
216,sql sql-server,"['sql', 'sql-server']","['sql', 'sql-server']"
217,html checkbox,"['html', 'checkbox']",['html']
218,.net optimization frameworks performance,"['.net', 'optimization', 'frameworks', 'performance']","['.net', 'performance']"
219,.net linq .net-3.5 .net-2.0 clr,"['.net', 'linq', '.net-3.5', '.net-2.0', 'clr']",['.net']
220,c# asp.net-mvc visual-studio,"['c#', 'asp.net-mvc', 'visual-studio']","['c#', 'visual-studio']"
221,asp.net,['asp.net'],['asp.net']
222,java swing jbutton,"['java', 'swing', 'jbutton']",['java']
223,asp.net ajax web-controls,"['asp.net', 'ajax', 'web-controls']",['asp.net']
224,c# asp.net .net master-pages,"['c#', 'asp.net', '.net', 'master-pages']","['c#', 'asp.net', '.net']"
225,c# .net testing tdd bdd,"['c#', '.net', 'testing', 'tdd', 'bdd']","['c#', '.net']"
226,apache-flex eclipse unit-testing build-automation cairngorm,"['apache-flex', 'eclipse', 'unit-testing', 'build-automation', 'cairngorm']",['unit-testing']
227,ruby shell interop,"['ruby', 'shell', 'interop']",['ruby']
228,c# dataset datatable,"['c#', 'dataset', 'datatable']",['c#']
229,c# c++ data-structures,"['c#', 'c++', 'data-structures']","['c#', 'c++']"
230,asp.net url url-rewriting url-routing rewrite,"['asp.net', 'url', 'url-rewriting', 'url-routing', 'rewrite']",['asp.net']
231,c# .net,"['c#', '.net']","['c#', '.net']"
232,visual-studio,['visual-studio'],['visual-studio']
233,asp-classic vbscript,"['asp-classic', 'vbscript']",[]
234,asp.net svn,"['asp.net', 'svn']","['asp.net', 'svn']"
235,php python ftp webserver ftplib,"['php', 'python', 'ftp', 'webserver', 'ftplib']","['php', 'python']"
236,asp.net ajax asp.net-ajax viewstate,"['asp.net', 'ajax', 'asp.net-ajax', 'viewstate']",['asp.net']
237,macos textwrangler,"['macos', 'textwrangler']",[]
238,arrays asp-classic vbscript,"['arrays', 'asp-classic', 'vbscript']",[]
239,macos mouse keyboard-shortcuts,"['macos', 'mouse', 'keyboard-shortcuts']",[]
240,haskell functional-programming monads glossary,"['haskell', 'functional-programming', 'monads', 'glossary']",[]
241,c# struct io binaryfiles,"['c#', 'struct', 'io', 'binaryfiles']",['c#']
242,language-agnostic data-structures file binary,"['language-agnostic', 'data-structures', 'file', 'binary']",['language-agnostic']
243,sql-server database sql-server-2005 sql-server-2000,"['sql-server', 'database', 'sql-server-2005', 'sql-server-2000']","['sql-server', 'database']"
244,security agile,"['security', 'agile']",[]
245,browser analytics,"['browser', 'analytics']",[]
246,data-structures language-agnostic binary-search-tree,"['data-structures', 'language-agnostic', 'binary-search-tree']",['language-agnostic']
247,multithreading language-agnostic concurrency,"['multithreading', 'language-agnostic', 'concurrency']",['language-agnostic']
248,c# .net,"['c#', '.net']","['c#', '.net']"
249,ajax progressive-enhancement,"['ajax', 'progressive-enhancement']",[]
250,mysql database database-design diagram,"['mysql', 'database', 'database-design', 'diagram']","['mysql', 'database']"
251,unit-testing tdd bdd,"['unit-testing', 'tdd', 'bdd']",['unit-testing']
252,actionscript-3 apache-flex sqlite air adobe,"['actionscript-3', 'apache-flex', 'sqlite', 'air', 'adobe']",[]
253,asp.net visual-studio visual-studio-2008 debugging iis,"['asp.net', 'visual-studio', 'visual-studio-2008', 'debugging', 'iis']","['asp.net', 'visual-studio']"
254,.net security obfuscation,"['.net', 'security', 'obfuscation']",['.net']
255,c# winforms treeview contextmenu,"['c#', 'winforms', 'treeview', 'contextmenu']","['c#', 'winforms']"
256,html forms browser autocomplete,"['html', 'forms', 'browser', 'autocomplete']",['html']
257,c architecture data-structures,"['c', 'architecture', 'data-structures']",['c']
258,flash graph,"['flash', 'graph']",[]
259,asp.net flash video embed,"['asp.net', 'flash', 'video', 'embed']",['asp.net']
260,payment,['payment'],[]
261,excel csv grid clipboard,"['excel', 'csv', 'grid', 'clipboard']",[]
262,sql-server windows,"['sql-server', 'windows']","['sql-server', 'windows']"
263,powershell cmdlets,"['powershell', 'cmdlets']",[]
264,language-agnostic,['language-agnostic'],['language-agnostic']
265,sql sql-server tsql split,"['sql', 'sql-server', 'tsql', 'split']","['sql', 'sql-server']"
266,sql-server,['sql-server'],['sql-server']
267,git svn version-control language-agnostic dvcs,"['git', 'svn', 'version-control', 'language-agnostic', 'dvcs']","['svn', 'language-agnostic']"
268,mysql oracle security,"['mysql', 'oracle', 'security']",['mysql']
269,sql sql-server group-by,"['sql', 'sql-server', 'group-by']","['sql', 'sql-server']"
270,language-agnostic,['language-agnostic'],['language-agnostic']
271,css templates,"['css', 'templates']",['css']
272,sql-server,['sql-server'],['sql-server']
273,linux bash shell ksh dash-shell,"['linux', 'bash', 'shell', 'ksh', 'dash-shell']",['linux']
274,ide erlang,"['ide', 'erlang']",[]
275,optimization setter getter verification,"['optimization', 'setter', 'getter', 'verification']",[]
276,php c++ linux ide,"['php', 'c++', 'linux', 'ide']","['php', 'c++', 'linux']"
277,visual-studio keyboard shortcuts,"['visual-studio', 'keyboard', 'shortcuts']",['visual-studio']
278,visual-studio plugins add-on,"['visual-studio', 'plugins', 'add-on']",['visual-studio']
279,winforms error-handling user-controls,"['winforms', 'error-handling', 'user-controls']",['winforms']
280,ubuntu virtualization xen,"['ubuntu', 'virtualization', 'xen']",[]
281,sql-server datetime date-conversion,"['sql-server', 'datetime', 'date-conversion']",['sql-server']
282,c# asp.net-mvc database ado.net,"['c#', 'asp.net-mvc', 'database', 'ado.net']","['c#', 'database']"
283,c# colors,"['c#', 'colors']",['c#']
284,c# .net vb.net memory-management null,"['c#', '.net', 'vb.net', 'memory-management', 'null']","['c#', '.net']"
285,windows mono,"['windows', 'mono']",['windows']
286,google-maps google-maps-api-3 mapping gis,"['google-maps', 'google-maps-api-3', 'mapping', 'gis']",[]
287,c# winforms picturebox,"['c#', 'winforms', 'picturebox']","['c#', 'winforms']"
288,sql-server,['sql-server'],['sql-server']
289,sql xml sql-server-2005 formatting for-xml,"['sql', 'xml', 'sql-server-2005', 'formatting', 'for-xml']","['sql', 'xml']"
290,http curl,"['http', 'curl']",[]
291,sql sql-server-2005 paging,"['sql', 'sql-server-2005', 'paging']",['sql']
292,c syntax printf format-specifiers long-long,"['c', 'syntax', 'printf', 'format-specifiers', 'long-long']",['c']
293,html web-scraping html-parsing html-content-extraction,"['html', 'web-scraping', 'html-parsing', 'html-content-extraction']",['html']
294,c# .net data-structures marshalling,"['c#', '.net', 'data-structures', 'marshalling']","['c#', '.net']"
295,c# .net winforms,"['c#', '.net', 'winforms']","['c#', '.net', 'winforms']"
296,c unix testing,"['c', 'unix', 'testing']",['c']
297,c# .net winforms,"['c#', '.net', 'winforms']","['c#', '.net', 'winforms']"
298,linux editor,"['linux', 'editor']",['linux']
299,php mysql apache,"['php', 'mysql', 'apache']","['php', 'mysql']"
300,database testing,"['database', 'testing']",['database']
301,popup,['popup'],[]
302,java p2p jxta,"['java', 'p2p', 'jxta']",['java']
303,python user-interface deployment tkinter release-management,"['python', 'user-interface', 'deployment', 'tkinter', 'release-management']",['python']
304,.net colors rgb hsl,"['.net', 'colors', 'rgb', 'hsl']",['.net']
305,ocr modi indexing-service,"['ocr', 'modi', 'indexing-service']",[]
306,java string parsing,"['java', 'string', 'parsing']",['java']
307,security cracking,"['security', 'cracking']",[]
308,c# winapi,"['c#', 'winapi']",['c#']
309,algorithm data-structures tree computer-science graph-theory,"['algorithm', 'data-structures', 'tree', 'computer-science', 'graph-theory']",[]
310,ruby sockets dns nslookup,"['ruby', 'sockets', 'dns', 'nslookup']",['ruby']
311,asp.net dynamic-data,"['asp.net', 'dynamic-data']",['asp.net']
312,c# visual-studio setter getter,"['c#', 'visual-studio', 'setter', 'getter']","['c#', 'visual-studio']"
313,recursion computer-science,"['recursion', 'computer-science']",[]
314,security usability captcha,"['security', 'usability', 'captcha']",[]
315,perl hash iteration,"['perl', 'hash', 'iteration']",[]
316,office-2007 office-2003,"['office-2007', 'office-2003']",[]
317,java c++ windows unix,"['java', 'c++', 'windows', 'unix']","['java', 'c++', 'windows']"
318,performance oop maintainability procedural interpreted-language,"['performance', 'oop', 'maintainability', 'procedural', 'interpreted-language']",['performance']
319,oop design-patterns inversion-of-control,"['oop', 'design-patterns', 'inversion-of-control']",[]
320,python object,"['python', 'object']",['python']
321,visual-studio plugins,"['visual-studio', 'plugins']",['visual-studio']
322,ajax sharepoint,"['ajax', 'sharepoint']",[]
323,python language-agnostic,"['python', 'language-agnostic']","['python', 'language-agnostic']"
324,windows visual-studio mono cross-platform,"['windows', 'visual-studio', 'mono', 'cross-platform']","['windows', 'visual-studio']"
325,perl arrays reference scalar,"['perl', 'arrays', 'reference', 'scalar']",[]
326,cron settings,"['cron', 'settings']",[]
327,mono nant teamcity mbunit,"['mono', 'nant', 'teamcity', 'mbunit']",[]
328,vb.net diff,"['vb.net', 'diff']",[]
329,.net,['.net'],['.net']
330,c++ unit-testing testing visual-studio-2008 frameworks,"['c++', 'unit-testing', 'testing', 'visual-studio-2008', 'frameworks']","['c++', 'unit-testing']"
331,apache .htaccess mod-rewrite,"['apache', '.htaccess', 'mod-rewrite']",[]
332,apache-flex actionscript-3,"['apache-flex', 'actionscript-3']",[]
333,c# asp.net .net path mappath,"['c#', 'asp.net', '.net', 'path', 'mappath']","['c#', 'asp.net', '.net']"
334,fogbugz,['fogbugz'],[]
335,sql,['sql'],['sql']
336,c# integer,"['c#', 'integer']",['c#']
337,javascript css http caching,"['javascript', 'css', 'http', 'caching']","['javascript', 'css']"
338,c++ visual-studio,"['c++', 'visual-studio']","['c++', 'visual-studio']"
339,c++ c midi signal-processing,"['c++', 'c', 'midi', 'signal-processing']","['c++', 'c']"
340,c#,['c#'],['c#']
341,algorithm optimization complexity-theory big-o performance,"['algorithm', 'optimization', 'complexity-theory', 'big-o', 'performance']",['performance']
